account_id,account_name,Scope_3_emissions_amount,z_score,Primary activity,Year
1356,"Baker Hughes, a GE Company",251861.0,2.053101837113292,Energy services & equipment,2016
19376,Travis Perkins,8181310.0,2.2963376096395685,"Dealers, wholesalers & distributors",2016
20593,Wesco International,11589883.0,3.416366051297885,"Dealers, wholesalers & distributors",2016
10156,Kingfisher,11916912.0,3.107604625296174,Specialist retail,2016
7164,General Motors Company,347251325.0,2.3974991839470325,Automobiles,2016
19290,Toyota Motor Corporation,369226000.0,2.596569619872575,Automobiles,2016
20309,Volkswagen AG,315574666.0,2.1105376559246727,Automobiles,2016
13566,NSK Ltd.,6538612.0,2.593994387047517,Fabricated metal components,2016
17673,"Stanley Black & Decker, Inc.",7119435.0,2.8759001012127023,Fabricated metal components,2016
4136,Cummins Inc.,811940700.0,2.9623381294450364,Engines & motors,2016
3751,ConocoPhillips,223978460.0,3.834658090713853,Oil & gas extraction,2016
777,Anglo American Platinum,1484030.0,2.8900373846953067,Precious metals & minerals mining,2016
17556,Spirax-Sarco Engineering,4400000.0,2.6599571947051697,Engineering services,2016
32498,Abengoa,4075808.0,2.434640914181943,Engineering services,2016
4826,The Dow Chemical Company,100380000.0,4.008538529017247,Other base chemicals,2016
10056,Kellogg Company,5667464.0,2.6428107807263923,Baked goods & cereals,2016
8212,Heineken NV,11787871.0,3.420365770936274,Alcoholic beverages,2016
1581,Bayer AG,36523000.0,2.1635100968518723,Pharmaceuticals,2016
2191,Bristol-Myers Squibb,77995200.0,5.020245014733118,Pharmaceuticals,2016
9712,Japan Tobacco Inc.,5621340.0,2.079787216558713,Tobacco products,2016
2297,British Land Company,3802710.0,5.455476024359745,REIT,2016
10205,Klepierre,1571752.0,2.0585879257776867,REIT,2016
19242,"Toray Industries, Inc.",89122776.0,3.005941458205976,Plastic products,2016
12379,Moody's Corporation,20935572.0,6.063968943659724,Other professional services,2016
12903,NEC Corporation,9289811.0,2.5179004783853274,Other professional services,2016
5584,Endesa,20519612.200000003,2.87543808347363,0,2016
16072,"Ryder System, Inc.",8644336.0,2.6139399091588165,Vehicles & machinery rental & leasing,2016
17788,Steelcase,31957511.0,2.826778405850705,Furniture,2016
10227,Korea Gas Corp,99299688.93,2.2466322961671548,Gas utilities,2016
12303,Mitsui O.S.K. Lines Ltd,7305607.77,2.4203557346271185,Marine freight,2016
4256,"Daiwa House Industry Co., Ltd.",10793920.0,3.240328297025843,Residential building construction,2016
4212,"Dai Nippon Printing Co., Ltd.",5598000.0,2.272448462388032,Printing services,2016
52262,Gefco,1803875.36,2.072682822688605,Logistics - transport,2016
13279,NIKE Inc.,6927261.0,2.324657560897541,Clothing manufacture,2017
4151,CVS Health,2609590.0,2.820887998580293,Health care services,2017
3420,City Developments Limited,929132.0,2.937958608600266,Real estate owners & developers,2017
4663,Deutsche Post AG,30000000.0,3.6004685726201044,Logistics - 3rd party,2017
20055,Vallourec,1931914.0,2.2108717317695845,Metal processing,2017
1812,Bic,447700.0,2.3038756510592187,Homeware,2017
7164,General Motors Company,320894122.0,2.3404915264496573,Automobiles,2017
8566,Honda Motor Company,302365341.0,2.1624485930733552,Automobiles,2017
19290,Toyota Motor Corporation,367795669.0,2.791168179585473,Automobiles,2017
20309,Volkswagen AG,327983298.0,2.4086113714767468,Automobiles,2017
